ne_code,iso_code,note
CZ-PR,CZ-10,Prague / Hlavní město Praha
CZ-ST,CZ-20,Central Bohemian / Středočeský
CZ-JC,CZ-31,South Bohemian / Jihočeský
CZ-PL,CZ-32,Plzeň / Plzeňský
CZ-KA,CZ-41,Karlovy Vary / Karlovarský
CZ-US,CZ-42,Ústí nad Labem / Ústecký
CZ-LI,CZ-51,Liberec / Liberecký
CZ-KR,CZ-52,Hradec Králové / Královéhradecký
CZ-PA,CZ-53,Pardubice / Pardubický
CZ-VY,CZ-63,Vysočina / Kraj Vysočina
CZ-JM,CZ-64,South Moravian / Jihomoravský
CZ-OL,CZ-71,Olomouc / Olomoucký
CZ-ZL,CZ-72,Zlín / Zlínský
CZ-MO,CZ-80,Moravian-Silesian / Moravskoslezský
